#,Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
MCC1314-18421,Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2013-08-29,5100663780,52000.00,Cruden Group Ltd
MCC1314-18422,Manchester City Council,Corporate Services,Preventative Maintenance Work,2013-08-29,5100663784,190702.00,Manchester Working Ltd
MCC1314-18423,Manchester City Council,Corporate Services,External repairs and maintenance for buildings,2013-08-29,5100663785,59469.03,Manchester Working Ltd
MCC1314-18424,Manchester City Council,Childrens Services,Transport Coach Hire,2013-08-29,5100663787,4653.57,Mr Blackcab
MCC1314-18425,Manchester City Council,Childrens Services,Transport Coach Hire,2013-08-29,5100663788,8330.70,Mr Blackcab
MCC1314-18426,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-08-29,5100663789,1330.00,Suffolk county council
MCC1314-18427,Manchester City Council,Childrens Services,Transport Coach Hire,2013-08-29,5100663790,1819.95,Mr Blackcab
MCC1314-18428,Manchester City Council,Childrens Services,Transport Coach Hire,2013-08-29,5100663791,702.50,Mr Blackcab
MCC1314-18429,Manchester City Council,Childrens Services,Transport Coach Hire,2013-08-29,5100663797,43587.00,Communitytransportservices.co.uk
MCC1314-18430,Manchester City Council,Childrens Services,Transport Coach Hire,2013-08-29,5100663798,45903.00,Communitytransportservices.co.uk
MCC1314-18431,Manchester City Council,Childrens Services,Transport Coach Hire,2013-08-29,5100663799,703.92,Communitytransportservices.co.uk
MCC1314-18432,Manchester City Council,Childrens Services,Transport Coach Hire,2013-08-29,5100663803,7700.00,APTSL
MCC1314-18433,Manchester City Council,Housing Revenue Account,Council Dwelling Fees,2013-08-29,5100663817,3106.67,Northwards Housing Limited
MCC1314-18434,Manchester City Council,Housing Revenue Account,Council Dwelling Fees,2013-08-29,5100663819,57256.00,Northwards Housing Limited
MCC1314-18435,Manchester City Council,Housing Revenue Account,Council Dwelling Fees,2013-08-29,5100663820,87812.13,Northwards Housing Limited
MCC1314-18436,Manchester City Council,Housing Revenue Account,Council Dwelling Fees,2013-08-29,5100663821,4914.00,Northwards Housing Limited
MCC1314-18437,Manchester City Council,Housing Revenue Account,Council Dwelling Fees,2013-08-29,5100663822,54706.00,Northwards Housing Limited
MCC1314-18438,Manchester City Council,Housing Revenue Account,Council Dwelling Fees,2013-08-29,5100663823,67327.99,Northwards Housing Limited
MCC1314-18439,Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,2013-08-29,5100663824,2397.93,Burnt Tree Group Ltd
MCC1314-18440,Manchester City Council,Housing Revenue Account,Council Dwelling Fees,2013-08-29,5100663826,68348.00,Northwards Housing Limited
MCC1314-18441,Manchester City Council,Housing Revenue Account,Council Dwelling Fees,2013-08-29,5100663828,2037.33,Northwards Housing Limited
MCC1314-18442,Manchester City Council,Housing Revenue Account,Council Dwelling Fees,2013-08-29,5100663829,43557.00,Northwards Housing Limited
MCC1314-18443,Manchester City Council,Corporate Services,Infra - Adaptations,2013-08-29,5100663841,1590.00,Qnomy UK Ltd
MCC1314-18444,Manchester City Council,Chief Executives,Equipment,2013-08-29,5100663845,3147.70,Local Government Association
MCC1314-18445,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-08-29,5100663847,1205.46,JTC Furniture Group
MCC1314-18446,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-08-29,5100663848,1625.85,JTC Furniture Group
MCC1314-18447,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-08-29,5100663851,1186.00,JTC Furniture Group
MCC1314-18448,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-08-29,5100663853,1347.98,JTC Furniture Group
MCC1314-18449,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-08-29,5100663856,679.44,JTC Furniture Group
MCC1314-18450,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-08-29,5100663860,685.28,JTC Furniture Group
MCC1314-18451,Manchester City Council,Childrens Services,Storage Costs,2013-08-29,5100663869,2680.80,PHS Records Management
MCC1314-18452,Manchester City Council,Corporate Services,CRB Fees,2013-08-29,5100663872,1496.00,Criminal Records Bureau
MCC1314-18453,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-08-29,5100663904,558.62,JTC Furniture Group
MCC1314-18454,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-08-29,5100663905,4613.13,JTC Furniture Group
MCC1314-18455,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-08-29,5100663907,12821.57,JTC Furniture Group
MCC1314-18456,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-08-29,5100663911,1187.33,JTC Furniture Group
MCC1314-18457,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-08-29,5100663946,-527.58,Northwards Housing Limited
MCC1314-18458,Manchester City Council,Childrens Services,Proffesional fees,2013-08-29,5100663949,9865.00,4CT Limited
MCC1314-18459,Manchester City Council,Childrens Services,Proffesional fees,2013-08-29,5100663951,3435.12,Scope
MCC1314-18460,Manchester City Council,Childrens Services,Proffesional fees,2013-08-29,5100663952,3075.00,Time Specialist Support Ltd
MCC1314-18461,Manchester City Council,Corporate Services,Training and Development,2013-08-29,5100664129,-1140.00,QA Ltd
MCC1314-18462,Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,2013-08-30,1700044340,-568.43,Littlehampton Book Services Ltd
MCC1314-18463,Manchester City Council,Chief Executives,Landline Telephone,2013-08-30,1700044491,-1134.00,Vodafone (Ex C&W)
MCC1314-18464,Manchester City Council,Chief Executives,Telecoms Equip,2013-08-30,1903729359,1517.99,T-Mobile
MCC1314-18465,Manchester City Council,Chief Executives,Mobilephone Charges,2013-08-30,1903740877,57708.61,T-Mobile
MCC1314-18466,Manchester City Council,Childrens Services,Proffesional fees,2013-08-30,1903771612,550.00,Redacted Personal Information
MCC1314-18467,Manchester City Council,Chief Executives,Mobilephone Charges,2013-08-30,1903773044,1450.18,T-Mobile
MCC1314-18468,Manchester City Council,Childrens Services,Fixtures and Fitting,2013-08-30,1903773396,1960.00,Barnardos Manchester Leaving Care S
MCC1314-18469,Manchester City Council,Childrens Services,Fixtures and Fitting,2013-08-30,1903780795,565.00,Barnardos Manchester Leaving Care S
MCC1314-18470,Manchester City Council,General Fund,BRR Central Share,2013-08-30,1903787629,14799876.00,Dept for Communities and Local Govt
MCC1314-18471,Manchester City Council,General Fund,BRR Top Ups,2013-08-30,1903787629,-759179.00,Dept for Communities and Local Govt
MCC1314-18472,Manchester City Council,General Fund,BRR Trans Protn Paym,2013-08-30,1903787629,-103143.00,Dept for Communities and Local Govt
MCC1314-18473,Manchester City Council,Manchester Leisure,Rents,2013-08-30,1903793851,1220.51,Danish UK Property Management Ltd
MCC1314-18474,Manchester City Council,Childrens Services,Compensation Payments,2013-08-30,1903793948,1710.00,Redacted Personal Information
MCC1314-18475,Manchester City Council,Chief Executives,Postage,2013-08-30,1903793949,1209.77,Royal Mail Group Plc
MCC1314-18476,Manchester City Council,Childrens Services,Compensation Payments,2013-08-30,1903795566,1320.00,Redacted Personal Information
MCC1314-18477,Manchester City Council,Manchester Leisure,Library Materials Acquisition,2013-08-30,1903795715,4275.00,Bright Book Supplies Ltd
MCC1314-18478,Manchester City Council,Manchester Leisure,Library Materials Acquisition,2013-08-30,1903795716,4237.35,Bright Book Supplies Ltd
MCC1314-18479,Manchester City Council,Childrens Services,Fixtures and Fitting,2013-08-30,1903795759,3043.00,Barnardos Manchester Leaving Care S
MCC1314-18480,Manchester City Council,Childrens Services,Training and Development,2013-08-30,1903795759,1041.60,Barnardos Manchester Leaving Care S
MCC1314-18481,Manchester City Council,Childrens Services,PNOR-Other Amenities,2013-08-30,1903795759,1277.10,Barnardos Manchester Leaving Care S
MCC1314-18482,Manchester City Council,Childrens Services,Childrens Allowances,2013-08-30,1903795759,1554.93,Barnardos Manchester Leaving Care S
MCC1314-18483,Manchester City Council,Corporate Services,Travel,2013-08-30,1903801638,13375.05,Trainline.com Limited
MCC1314-18484,Manchester City Council,Adult Social Care,Proffesional fees,2013-08-30,1903801882,500.00,Redacted Personal Information
MCC1314-18485,Manchester City Council,Adult Social Care,Travel,2013-08-30,1903801886,666.50,R.S.P. Ltd Br Business Systems Ltd
MCC1314-18486,Manchester City Council,Childrens Services,Travel,2013-08-30,1903801886,1171.30,R.S.P. Ltd Br Business Systems Ltd
MCC1314-18487,Manchester City Council,Childrens Services,Travel,2013-08-30,1903801886,731.05,R.S.P. Ltd Br Business Systems Ltd
MCC1314-18488,Manchester City Council,Chief Executives,Hire of Equipment,2013-08-30,1903801920,4340.00,Stage Sound and Light
MCC1314-18489,Manchester City Council,Housing General Fund,Surplus property Acquisitions,2013-08-30,1903801968,4159.99,Redacted Personal Information
MCC1314-18490,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-08-30,1903802704,1079.10,Merseybank United Jun Football
MCC1314-18491,Manchester City Council,Adult Social Care,Internal Repairs and Maintenance for buildings,2013-08-30,1903802711,500.00,Redacted Personal Information
MCC1314-18492,Manchester City Council,Adult Social Care,Compensation Payments,2013-08-30,1903802713,5000.00,Redacted Personal Information
MCC1314-18493,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-08-30,1903802721,2000.00,Charlestown in Bloom
MCC1314-18494,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-08-30,1903802727,2000.00,South Rusholme Residents Assoc
MCC1314-18495,Manchester City Council,Childrens Services,Proffesional fees,2013-08-30,1903802740,585.00,Stockport Psychology Services
MCC1314-18496,Manchester City Council,Adult Social Care,Catering Provisions,2013-08-30,1903802927,571.00,Redacted Personal Information
MCC1314-18497,Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-08-30,1903802961,559.67,Brake Bros Foodservice Ltd
MCC1314-18498,Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2013-08-30,1903802997,745.00,Ecomix Concrete Ltd
MCC1314-18499,Manchester City Council,Housing General Fund,Surplus property Acquisitions,2013-08-30,1903803004,4868.86,Redacted Personal Information
MCC1314-18500,Manchester City Council,Housing Revenue Account,Surplus property Acquisitions,2013-08-30,1903803005,5672.21,Redacted Personal Information
MCC1314-18501,Manchester City Council,Childrens Services,Foster Payments,2013-08-30,1903803011,656.41,Clare Peacock
MCC1314-18502,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-08-30,1903803013,1591.68,Redacted Personal Information
MCC1314-18503,Manchester City Council,Childrens Services,Agency staff provision,2013-08-30,5100656319,4634.00,Solace Enterprises Ltd
MCC1314-18504,Manchester City Council,Chief Executives,I T Provision,2013-08-30,5100657586,1714.71,Computerland Uk Ltd
MCC1314-18505,Manchester City Council,Adult Social Care,Personal needs of client,2013-08-30,5100657715,1396.20,Connevans Ltd
MCC1314-18506,Manchester City Council,Hospitality + Trading Services,Equipment,2013-08-30,5100657719,931.00,Hobart U.K.
MCC1314-18507,Manchester City Council,Adult Social Care,Personal needs of client,2013-08-30,5100657733,5592.70,Lisclare
MCC1314-18508,Manchester City Council,Childrens Services,Foster Payments,2013-08-30,5100657773,2350.00,Core Assets Childrens Services
MCC1314-18509,Manchester City Council,Hospitality + Trading Services,Water - Metered,2013-08-30,5100657916,3250.80,United Utilities (Standpipes Only)
MCC1314-18510,Manchester City Council,Environment and Operations,"Consumable items eg Toilet rolls, soap etc",2013-08-30,5100658129,718.32,A C Packaging Co Ltd
MCC1314-18511,Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2013-08-30,5100658199,4535.60,Carlton Fuels Ltd
MCC1314-18512,Manchester City Council,Corporate Services,Proffesional fees,2013-08-30,5100658218,933.46,Victoria Baths Trust
MCC1314-18513,Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,2013-08-30,5100658269,899.41,Manchester Van Hire Ltd
MCC1314-18514,Manchester City Council,Corporate Services,Infrastructure Acquisition,2013-08-30,5100658283,1308.68,Computerland Uk Ltd
MCC1314-18515,Manchester City Council,Corporate Services,Infrastructure Acquisition,2013-08-30,5100658284,1308.68,Computerland Uk Ltd
MCC1314-18516,Manchester City Council,Corporate Services,Infrastructure Acquisition,2013-08-30,5100658285,1308.68,Computerland Uk Ltd
MCC1314-18517,Manchester City Council,Corporate Services,Infrastructure Acquisition,2013-08-30,5100658286,1308.68,Computerland Uk Ltd
MCC1314-18518,Manchester City Council,Corporate Services,Infrastructure Acquisition,2013-08-30,5100658296,578.00,Computerland Uk Ltd
MCC1314-18519,Manchester City Council,Corporate Services,Infrastructure Acquisition,2013-08-30,5100658297,578.00,Computerland Uk Ltd
MCC1314-18520,Manchester City Council,Corporate Services,Infrastructure Acquisition,2013-08-30,5100658298,578.00,Computerland Uk Ltd
MCC1314-18521,Manchester City Council,Corporate Services,Infrastructure Acquisition,2013-08-30,5100658299,578.00,Computerland Uk Ltd
MCC1314-18522,Manchester City Council,Corporate Services,Infrastructure Acquisition,2013-08-30,5100658300,578.00,Computerland Uk Ltd
MCC1314-18523,Manchester City Council,Corporate Services,Infrastructure Acquisition,2013-08-30,5100658301,578.00,Computerland Uk Ltd
MCC1314-18524,Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2013-08-30,5100658364,4390.83,Independent Choices - Manchester Li
MCC1314-18525,Manchester City Council,Chief Executives,Stationery,2013-08-30,5100658405,783.05,Banner Business Services Ltd
MCC1314-18526,Manchester City Council,Childrens Services,Supporting People Payments,2013-08-30,5100658454,1704.00,Venture Arts Ltd
MCC1314-18527,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-08-30,5100658664,614.00,SIG Roofing Supplies
MCC1314-18528,Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2013-08-30,5100658692,600.00,Arboricultural Services Treework
MCC1314-18529,Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2013-08-30,5100658739,10658.33,Greater Manchester Immigration Aid
MCC1314-18530,Manchester City Council,Chief Executives,Licences Purchase,2013-08-30,5100658911,15367.46,Software Box Ltd
MCC1314-18531,Manchester City Council,Hospitality + Trading Services,Equipment,2013-08-30,5100659033,4000.00,Metronet UK
MCC1314-18532,Manchester City Council,Chief Executives,I T Provision,2013-08-30,5100659043,950.00,Idox Software Ltd
MCC1314-18533,Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2013-08-30,5100659085,5530.71,Scrutiny Cleaning Services
MCC1314-18534,Manchester City Council,Hospitality + Trading Services,Vehicle Parts/Spares,2013-08-30,5100659217,1056.38,Johnston Sweepers
MCC1314-18535,Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2013-08-30,5100659249,30000.00,Young People Support Foundation Ltd
MCC1314-18536,Manchester City Council,Libraries and Theatres,Proffesional fees,2013-08-30,5100659354,25920.00,Andrew Jenner t/a R.C.D.
MCC1314-18537,Manchester City Council,Corporate Services,Proffesional fees,2013-08-30,5100659450,28634.44,AECOM Limited
MCC1314-18538,Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2013-08-30,5100659487,6779.40,Carlton Fuels Ltd
MCC1314-18539,Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2013-08-30,5100659552,7200.00,Mace Ltd
MCC1314-18540,Manchester City Council,Chief Executives,Hire of Equipment,2013-08-30,5100659620,1797.00,Kensite Services Ltd
MCC1314-18541,Manchester City Council,Hospitality + Trading Services,Cleaning Equipment,2013-08-30,5100659632,1692.29,Granwax Products Ltd
MCC1314-18542,Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2013-08-30,5100659638,900.00,Esteem
MCC1314-18543,Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2013-08-30,5100659889,1428.01,MCCR
MCC1314-18544,Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2013-08-30,5100659890,1273.66,MCCR
MCC1314-18545,Manchester City Council,Childrens Services,Day Care Payments,2013-08-30,5100659988,6224.75,Central Manchester University Hosp
MCC1314-18546,Manchester City Council,Childrens Services,Transport Coach Hire,2013-08-30,5100660021,5740.00,T/A Schools Direct
MCC1314-18547,Manchester City Council,Childrens Services,Transport Coach Hire,2013-08-30,5100660022,4587.00,T/A Schools Direct
MCC1314-18548,Manchester City Council,Chief Executives,Printing,2013-08-30,5100660049,1160.00,Astra Signs
MCC1314-18549,Manchester City Council,Adult Social Care,Stationery,2013-08-30,5100660070,618.24,Banner Business Services Ltd
MCC1314-18550,Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2013-08-30,5100660213,4041.33,Ibm United Kingdom Financial Serv.L
MCC1314-18551,Manchester City Council,Hospitality + Trading Services,Transport Coach Hire,2013-08-30,5100660244,9277.00,Berkeley Care Management Ltd
MCC1314-18552,Manchester City Council,Childrens Services,Day Care Payments,2013-08-30,5100660276,8750.00,Central Manchester University Hosp
MCC1314-18553,Manchester City Council,Hospitality + Trading Services,Transport Coach Hire,2013-08-30,5100660286,646.57,Berkeley Care Management Ltd
MCC1314-18554,Manchester City Council,Hospitality + Trading Services,Transport Coach Hire,2013-08-30,5100660289,581.64,Berkeley Care Management Ltd
MCC1314-18555,Manchester City Council,Adult Social Care,Third party payments to Health Authority,2013-08-30,5100660565,164607.25,Brook
MCC1314-18556,Manchester City Council,Adult Social Care,Third party payments to Health Authority,2013-08-30,5100660567,49687.00,Brook
MCC1314-18557,Manchester City Council,Adult Social Care,Third party payments to Health Authority,2013-08-30,5100660571,49687.00,Brook
MCC1314-18558,Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2013-08-30,5100660576,37460.86,ISG Construction Limited
MCC1314-18559,Manchester City Council,Manchester Leisure,Contract Cleaning External,2013-08-30,5100660644,5271.11,Mitie Cleaning & Environmental
MCC1314-18560,Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2013-08-30,5100660690,5000.00,Metronet UK
MCC1314-18561,Manchester City Council,Manchester Leisure,Equipment,2013-08-30,5100660701,4734.00,Groundwork Landscapes Ltd
MCC1314-18562,Manchester City Council,Hospitality + Trading Services,Vehicle Parts/Spares,2013-08-30,5100660713,852.18,Johnston Sweepers
MCC1314-18563,Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2013-08-30,5100660810,736.08,African & Caribbean Mental Health
MCC1314-18564,Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2013-08-30,5100660887,2437.30,Killgerm Chemicals Ltd
MCC1314-18565,Manchester City Council,Hospitality + Trading Services,Vehicle Parts/Spares,2013-08-30,5100660914,917.10,Johnston Sweepers
MCC1314-18566,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-08-30,5100660918,820.59,Edmundson Electrical Ltd
MCC1314-18567,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-08-30,5100660941,1704.56,Venture Arts Ltd
MCC1314-18568,Manchester City Council,Chief Executives,Printing,2013-08-30,5100660946,2975.00,Astra Signs
MCC1314-18569,Manchester City Council,Childrens Services,Foster Payments,2013-08-30,5100660972,1760.00,Care-Ex Services Ltd t/a Concerto
MCC1314-18570,Manchester City Council,Childrens Services,Foster Payments,2013-08-30,5100661049,680.00,Care-Ex Services Ltd t/a Concerto
MCC1314-18571,Manchester City Council,Hospitality + Trading Services,Vehicle Parts/Spares,2013-08-30,5100661274,550.00,Johnston Sweepers
MCC1314-18572,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-08-30,5100661288,788.83,Royal Oak & Baguley Residents Assoc
MCC1314-18573,Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2013-08-30,5100661394,5340.00,T.I.S. Limited
MCC1314-18574,Manchester City Council,Housing Revenue Account,External repairs and maintenance for buildings,2013-08-30,5100661622,7004.58,Manchester Working Ltd
MCC1314-18575,Manchester City Council,Hospitality + Trading Services,Electricity,2013-08-30,5100661650,3124.58,Capital Properties (UK) Ltd
MCC1314-18576,Manchester City Council,Chief Executives,Grant and subscriptions awarded,2013-08-30,5100661662,12300.00,4CT Limited
MCC1314-18577,Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2013-08-30,5100661665,1100.00,Viewprint
MCC1314-18578,Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2013-08-30,5100661665,1100.00,Viewprint
MCC1314-18579,Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2013-08-30,5100661678,1401.00,Gaddum Centre
MCC1314-18580,Manchester City Council,Chief Executives,Storage Costs,2013-08-30,5100661793,800.00,Forsyth Business Centres UK Ltd
MCC1314-18581,Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2013-08-30,5100661800,1424.66,Indian Senior Citizens Centre
MCC1314-18582,Manchester City Council,Chief Executives,Advertising,2013-08-30,5100661815,540.00,TSL Education Ltd
MCC1314-18583,Manchester City Council,Chief Executives,Advertising,2013-08-30,5100661817,594.00,TSL Education Ltd
MCC1314-18584,Manchester City Council,Learning Disabilities PB,Supported Accommodation,2013-08-30,5100661820,-7528.60,SLC Paragon
MCC1314-18585,Manchester City Council,Chief Executives,Refuse Collection,2013-08-30,5100661823,1780.00,Scrutiny Cleaning Services
MCC1314-18586,Manchester City Council,Chief Executives,Hire of Equipment,2013-08-30,5100661856,-761.36,Twofold Ltd
MCC1314-18587,Manchester City Council,Chief Executives,Hire of Equipment,2013-08-30,5100661870,-761.36,Twofold Ltd
MCC1314-18588,Manchester City Council,Hospitality + Trading Services,Radio Charges,2013-08-30,5100661878,1236.08,Apex Radio Systems Ltd
MCC1314-18589,Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2013-08-30,5100661943,18276.33,Capgemini UK Plc
MCC1314-18590,Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2013-08-30,5100661946,36552.66,Capgemini UK Plc
MCC1314-18591,Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2013-08-30,5100661947,36552.66,Capgemini UK Plc
MCC1314-18592,Manchester City Council,Environment and Operations,Building Materials for direct delivery,2013-08-30,5100662029,2717.99,Bpi Recycled Products Plc
MCC1314-18593,Manchester City Council,Environment and Operations,Equipment,2013-08-30,5100662166,1555.25,N. A. Brown Limited
MCC1314-18594,Manchester City Council,Adult Social Care,Payments for services,2013-08-30,5100662201,-6135.00,Manchester Mental Health & Social C
MCC1314-18595,Manchester City Council,Manchester Leisure,Variation Orders,2013-08-30,5100662242,1215.00,Glendale Managed Services
MCC1314-18596,Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2013-08-30,5100662331,3895.10,Computerland Uk Ltd
MCC1314-18597,Manchester City Council,Environment and Operations,ClothsUniformLaundry,2013-08-30,5100662379,795.12,Arco Group Ltd
MCC1314-18598,Manchester City Council,Regeneration Finance,Proffesional fees,2013-08-30,5100662412,9455.43,Blue Orchid Management
MCC1314-18599,Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2013-08-30,5100662507,3209.85,Ramora Ltd
MCC1314-18600,Manchester City Council,Regeneration Finance,I T Provision,2013-08-30,5100662517,2139.86,Shoo 572 Ltd
MCC1314-18601,Manchester City Council,Adult Social Care,Personal needs of client,2013-08-30,5100662544,741.00,The Helping Hand Company Ltd
MCC1314-18602,Manchester City Council,Adult Social Care,Equipment,2013-08-30,5100662545,730.00,Smitcare Ltd
MCC1314-18603,Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,2013-08-30,5100662553,1546.40,Wolseley Util Ltd T/A Burdens
MCC1314-18604,Manchester City Council,Chief Executives,Agency staff provision,2013-08-30,5100662572,1504.58,Deekay Technical Recruitment Ltd
MCC1314-18605,Manchester City Council,Chief Executives,Agency staff provision,2013-08-30,5100662572,1258.25,Deekay Technical Recruitment Ltd
MCC1314-18606,Manchester City Council,Childrens Services,Foster Payments,2013-08-30,5100662575,1760.00,Care-Ex Services Ltd t/a Concerto
MCC1314-18607,Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2013-08-30,5100662597,500.00,Arboricultural Services Treework
MCC1314-18608,Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2013-08-30,5100662599,2904.25,Ramora Ltd
MCC1314-18609,Manchester City Council,Childrens Services,Agency staff provision,2013-08-30,5100662603,1640.80,HCL Social Care
MCC1314-18610,Manchester City Council,Childrens Services,Agency staff provision,2013-08-30,5100662603,988.29,HCL Social Care
MCC1314-18611,Manchester City Council,Learning Disabilities PB,Agency staff provision,2013-08-30,5100662603,721.35,HCL Social Care
MCC1314-18612,Manchester City Council,Manchester Leisure,Agency staff provision,2013-08-30,5100662605,688.45,Search Consultancy Ltd
MCC1314-18613,Manchester City Council,Adult Social Care,Transport Taxis,2013-08-30,5100662605,532.56,Search Consultancy Ltd
MCC1314-18614,Manchester City Council,Childrens Services,Agency staff provision,2013-08-30,5100662605,685.30,Search Consultancy Ltd
MCC1314-18615,Manchester City Council,Childrens Services,Agency staff provision,2013-08-30,5100662605,681.25,Search Consultancy Ltd
MCC1314-18616,Manchester City Council,Childrens Services,CAMC/Not assigned,2013-08-30,5100662605,2307.95,Search Consultancy Ltd
MCC1314-18617,Manchester City Council,Chief Executives,Agency staff provision,2013-08-30,5100662614,4602.73,SRA Cover Staff Ltd
MCC1314-18618,Manchester City Council,Manchester Leisure,"Consumable items eg Toilet rolls, soap etc",2013-08-30,5100662638,2794.84,Wessex Pictures
MCC1314-18619,Manchester City Council,Chief Executives,Agency staff provision,2013-08-30,5100662647,696.29,Randstad Care
MCC1314-18620,Manchester City Council,Housing Revenue Account,Heating Repairs,2013-08-30,5100662708,562.99,ENER-G Switch 2 Ltd
MCC1314-18621,Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,2013-08-30,5100662722,1285628.64,Renaissance Miles Platting Ltd
MCC1314-18622,Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,2013-08-30,5100662725,-1285628.64,Renaissance Miles Platting Ltd
MCC1314-18623,Manchester City Council,Childrens Services,Training and Development,2013-08-30,5100662758,600.00,Eduk8 Partnership Ltd
MCC1314-18624,Manchester City Council,Chief Executives,Printing,2013-08-30,5100662791,1150.00,Liberty  Services Ltd
MCC1314-18625,Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2013-08-30,5100662802,88677.96,Laing O'Rourke Construction Ltd
MCC1314-18626,Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2013-08-30,5100662806,95178.01,Laing O'Rourke Construction Ltd
MCC1314-18627,Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2013-08-30,5100662811,49388.85,Laing O'Rourke Construction Ltd
MCC1314-18628,Manchester City Council,Adult Social Care,Equipment,2013-08-30,5100662892,1834.00,Drive Medical Limited
MCC1314-18629,Manchester City Council,Corporate Services,Travel Season TLS,2013-08-30,5100662913,510.00,Stagecoach Manchester
MCC1314-18630,Manchester City Council,Corporate Services,Travel Season TLS,2013-08-30,5100662913,510.00,Stagecoach Manchester
MCC1314-18631,Manchester City Council,Corporate Services,Travel Season TLS,2013-08-30,5100662913,510.00,Stagecoach Manchester
MCC1314-18632,Manchester City Council,Environment and Operations,Proffesional fees,2013-08-30,5100662974,6480.00,Buckley & Rowbotham
MCC1314-18633,Manchester City Council,Environment and Operations,Proffesional fees,2013-08-30,5100662998,527.86,Daly Drains Ltd
MCC1314-18634,Manchester City Council,Environment and Operations,Proffesional fees,2013-08-30,5100662999,1312.22,Daly Drains Ltd
MCC1314-18635,Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2013-08-30,5100663057,38831.00,GB Building Solutions Ltd
MCC1314-18636,Manchester City Council,Corporate Services,Cleaning Equipment and Materials,2013-08-30,5100663061,2331.24,Alliance Disposables Ltd
MCC1314-18637,Manchester City Council,Adult Social Care,Personal needs of client,2013-08-30,5100663068,827.00,The Helping Hand Company Ltd
